,crisis_name,matched_outlet,coverage_count,start_date,fund_required,people_affected,crisis_days,coverage_per_day,coverage_per_funding,coverage_per_people
100,Democratic Republic of the Congo,Newsweek,28,3/1/2022,3.23,21.2,1075,0.026046511627906978,8.6687306501548,1.3207547169811322
101,Democratic Republic of the Congo,RT,3,3/1/2022,3.23,21.2,1075,0.0027906976744186047,0.9287925696594427,0.14150943396226415
102,Democratic Republic of the Congo,Reuters,162,3/1/2022,3.23,21.2,1075,0.15069767441860465,50.15479876160991,7.6415094339622645
103,Democratic Republic of the Congo,Sky News,3,3/1/2022,3.23,21.2,1075,0.0027906976744186047,0.9287925696594427,0.14150943396226415
104,Democratic Republic of the Congo,Sydney Morning Herald ,2,3/1/2022,3.23,21.2,1075,0.0018604651162790699,0.6191950464396285,0.09433962264150944
105,Democratic Republic of the Congo,The Evening Standard,9,3/1/2022,3.23,21.2,1075,0.008372093023255815,2.7863777089783284,0.42452830188679247
106,Democratic Republic of the Congo,The Globe and Mail,25,3/1/2022,3.23,21.2,1075,0.023255813953488372,7.739938080495356,1.179245283018868
107,Democratic Republic of the Congo,The Guardian,93,3/1/2022,3.23,21.2,1075,0.08651162790697674,28.792569659442723,4.386792452830189
108,Democratic Republic of the Congo,The Independent,17,3/1/2022,3.23,21.2,1075,0.01581395348837209,5.2631578947368425,0.8018867924528302
109,Democratic Republic of the Congo,The Sun,25,3/1/2022,3.23,21.2,1075,0.023255813953488372,7.739938080495356,1.179245283018868
110,Democratic Republic of the Congo,The Telegraph,16,3/1/2022,3.23,21.2,1075,0.014883720930232559,4.953560371517028,0.7547169811320755
111,Democratic Republic of the Congo,USA Today,10,3/1/2022,3.23,21.2,1075,0.009302325581395349,3.0959752321981426,0.4716981132075472
112,Democratic Republic of the Congo,Wall Street Journal,11,3/1/2022,3.23,21.2,1075,0.010232558139534883,3.4055727554179565,0.5188679245283019
113,Democratic Republic of the Congo,Washington Post,32,3/1/2022,3.23,21.2,1075,0.029767441860465118,9.907120743034056,1.509433962264151
114,Democratic Republic of the Congo,yahoo,29,3/1/2022,3.23,21.2,1075,0.026976744186046512,8.978328173374614,1.3679245283018868
115,Ethiopia,ABC News,80,11/1/2020,2.0,10.0,1560,0.05128205128205128,40.0,8.0
116,Ethiopia,AP News,37,11/1/2020,2.0,10.0,1560,0.023717948717948717,18.5,3.7
117,Ethiopia,Al Jazeera,327,11/1/2020,2.0,10.0,1560,0.20961538461538462,163.5,32.7
118,Ethiopia,BBC,332,11/1/2020,2.0,10.0,1560,0.2128205128205128,166.0,33.2
119,Ethiopia,Business Insider,9,11/1/2020,2.0,10.0,1560,0.0057692307692307696,4.5,0.9
120,Ethiopia,Buzzfeed,2,11/1/2020,2.0,10.0,1560,0.001282051282051282,1.0,0.2
121,Ethiopia,CBC (Canadian Broadcasting Corporation),22,11/1/2020,2.0,10.0,1560,0.014102564102564103,11.0,2.2
122,Ethiopia,CBS News,20,11/1/2020,2.0,10.0,1560,0.01282051282051282,10.0,2.0
123,Ethiopia,CNBC,3,11/1/2020,2.0,10.0,1560,0.0019230769230769232,1.5,0.3
124,Ethiopia,CNN,51,11/1/2020,2.0,10.0,1560,0.032692307692307694,25.5,5.1
125,Ethiopia,CTV News,7,11/1/2020,2.0,10.0,1560,0.004487179487179487,3.5,0.7
126,Ethiopia,Daily Express,3,11/1/2020,2.0,10.0,1560,0.0019230769230769232,1.5,0.3
127,Ethiopia,Forbes,9,11/1/2020,2.0,10.0,1560,0.0057692307692307696,4.5,0.9
128,Ethiopia,Fox News,4,11/1/2020,2.0,10.0,1560,0.002564102564102564,2.0,0.4
129,Ethiopia,ITV,1,11/1/2020,2.0,10.0,1560,0.000641025641025641,0.5,0.1
130,Ethiopia,MSN,35,11/1/2020,2.0,10.0,1560,0.022435897435897436,17.5,3.5
131,Ethiopia,Mail Online,46,11/1/2020,2.0,10.0,1560,0.029487179487179487,23.0,4.6
132,Ethiopia,Manchester Evening News,2,11/1/2020,2.0,10.0,1560,0.001282051282051282,1.0,0.2
133,Ethiopia,Mirror,1,11/1/2020,2.0,10.0,1560,0.000641025641025641,0.5,0.1
134,Ethiopia,NBC News,13,11/1/2020,2.0,10.0,1560,0.008333333333333333,6.5,1.3
135,Ethiopia,NYT,126,11/1/2020,2.0,10.0,1560,0.08076923076923077,63.0,12.6
136,Ethiopia,New York Post,5,11/1/2020,2.0,10.0,1560,0.003205128205128205,2.5,0.5
137,Ethiopia,Newsweek,5,11/1/2020,2.0,10.0,1560,0.003205128205128205,2.5,0.5
138,Ethiopia,RT,1,11/1/2020,2.0,10.0,1560,0.000641025641025641,0.5,0.1
139,Ethiopia,Reuters,175,11/1/2020,2.0,10.0,1560,0.11217948717948718,87.5,17.5
140,Ethiopia,Sky News,13,11/1/2020,2.0,10.0,1560,0.008333333333333333,6.5,1.3
141,Ethiopia,The Evening Standard,2,11/1/2020,2.0,10.0,1560,0.001282051282051282,1.0,0.2
142,Ethiopia,The Globe and Mail,10,11/1/2020,2.0,10.0,1560,0.00641025641025641,5.0,1.0
143,Ethiopia,The Guardian,109,11/1/2020,2.0,10.0,1560,0.06987179487179487,54.5,10.9
144,Ethiopia,The Independent,25,11/1/2020,2.0,10.0,1560,0.016025641025641024,12.5,2.5
145,Ethiopia,The Sun,9,11/1/2020,2.0,10.0,1560,0.0057692307692307696,4.5,0.9
146,Ethiopia,The Telegraph,10,11/1/2020,2.0,10.0,1560,0.00641025641025641,5.0,1.0
147,Ethiopia,USA Today,5,11/1/2020,2.0,10.0,1560,0.003205128205128205,2.5,0.5
148,Ethiopia,Wall Street Journal,7,11/1/2020,2.0,10.0,1560,0.004487179487179487,3.5,0.7
149,Ethiopia,Washington Post,35,11/1/2020,2.0,10.0,1560,0.022435897435897436,17.5,3.5
150,Ethiopia,yahoo,10,11/1/2020,2.0,10.0,1560,0.00641025641025641,5.0,1.0
151,Gaza and the Occupied Palestinian Territories,ABC News,3106,10/1/2023,4.0,3.3,496,6.262096774193548,776.5,941.2121212121212
152,Gaza and the Occupied Palestinian Territories,AP News,938,10/1/2023,4.0,3.3,496,1.8911290322580645,234.5,284.24242424242425
153,Gaza and the Occupied Palestinian Territories,Al Jazeera,1433,10/1/2023,4.0,3.3,496,2.8891129032258065,358.25,434.24242424242425
154,Gaza and the Occupied Palestinian Territories,BBC,847,10/1/2023,4.0,3.3,496,1.7076612903225807,211.75,256.6666666666667
155,Gaza and the Occupied Palestinian Territories,Birmigham Live,29,10/1/2023,4.0,3.3,496,0.05846774193548387,7.25,8.787878787878789
156,Gaza and the Occupied Palestinian Territories,Business Insider,170,10/1/2023,4.0,3.3,496,0.34274193548387094,42.5,51.515151515151516
157,Gaza and the Occupied Palestinian Territories,Buzzfeed,86,10/1/2023,4.0,3.3,496,0.17338709677419356,21.5,26.060606060606062
158,Gaza and the Occupied Palestinian Territories,CBC (Canadian Broadcasting Corporation),856,10/1/2023,4.0,3.3,496,1.7258064516129032,214.0,259.39393939393943
159,Gaza and the Occupied Palestinian Territories,CBS News,893,10/1/2023,4.0,3.3,496,1.8004032258064515,223.25,270.6060606060606
160,Gaza and the Occupied Palestinian Territories,CNBC,209,10/1/2023,4.0,3.3,496,0.4213709677419355,52.25,63.333333333333336
161,Gaza and the Occupied Palestinian Territories,CNN,1069,10/1/2023,4.0,3.3,496,2.155241935483871,267.25,323.93939393939394
162,Gaza and the Occupied Palestinian Territories,CTV News,650,10/1/2023,4.0,3.3,496,1.310483870967742,162.5,196.96969696969697
163,Gaza and the Occupied Palestinian Territories,Channel 4,21,10/1/2023,4.0,3.3,496,0.04233870967741935,5.25,6.363636363636364
164,Gaza and the Occupied Palestinian Territories,Daily Express,279,10/1/2023,4.0,3.3,496,0.5625,69.75,84.54545454545455
165,Gaza and the Occupied Palestinian Territories,Daily Record,117,10/1/2023,4.0,3.3,496,0.23588709677419356,29.25,35.45454545454545
166,Gaza and the Occupied Palestinian Territories,Forbes,140,10/1/2023,4.0,3.3,496,0.28225806451612906,35.0,42.42424242424243
167,Gaza and the Occupied Palestinian Territories,Fox News,847,10/1/2023,4.0,3.3,496,1.7076612903225807,211.75,256.6666666666667
168,Gaza and the Occupied Palestinian Territories,GB News,85,10/1/2023,4.0,3.3,496,0.17137096774193547,21.25,25.757575757575758
169,Gaza and the Occupied Palestinian Territories,IRNA (Islamic Iranian News Agency),93,10/1/2023,4.0,3.3,496,0.1875,23.25,28.181818181818183
170,Gaza and the Occupied Palestinian Territories,ITV,414,10/1/2023,4.0,3.3,496,0.8346774193548387,103.5,125.45454545454547
171,Gaza and the Occupied Palestinian Territories,MSN,1917,10/1/2023,4.0,3.3,496,3.8649193548387095,479.25,580.909090909091
172,Gaza and the Occupied Palestinian Territories,Mail Online,915,10/1/2023,4.0,3.3,496,1.844758064516129,228.75,277.2727272727273
173,Gaza and the Occupied Palestinian Territories,Manchester Evening News,56,10/1/2023,4.0,3.3,496,0.11290322580645161,14.0,16.96969696969697
174,Gaza and the Occupied Palestinian Territories,Metro,327,10/1/2023,4.0,3.3,496,0.6592741935483871,81.75,99.0909090909091
175,Gaza and the Occupied Palestinian Territories,Mirror,313,10/1/2023,4.0,3.3,496,0.6310483870967742,78.25,94.84848484848486
176,Gaza and the Occupied Palestinian Territories,NBC News,1007,10/1/2023,4.0,3.3,496,2.030241935483871,251.75,305.1515151515152
177,Gaza and the Occupied Palestinian Territories,NYT,1399,10/1/2023,4.0,3.3,496,2.8205645161290325,349.75,423.93939393939394
178,Gaza and the Occupied Palestinian Territories,New York Post,955,10/1/2023,4.0,3.3,496,1.9254032258064515,238.75,289.39393939393943
179,Gaza and the Occupied Palestinian Territories,News.com.au,345,10/1/2023,4.0,3.3,496,0.6955645161290323,86.25,104.54545454545455
180,Gaza and the Occupied Palestinian Territories,Newsweek,787,10/1/2023,4.0,3.3,496,1.5866935483870968,196.75,238.4848484848485
181,Gaza and the Occupied Palestinian Territories,RT,142,10/1/2023,4.0,3.3,496,0.2862903225806452,35.5,43.03030303030303
182,Gaza and the Occupied Palestinian Territories,Radio Times,6,10/1/2023,4.0,3.3,496,0.012096774193548387,1.5,1.8181818181818183
183,Gaza and the Occupied Palestinian Territories,Reuters,1485,10/1/2023,4.0,3.3,496,2.993951612903226,371.25,450.0
184,Gaza and the Occupied Palestinian Territories,Sky News,1078,10/1/2023,4.0,3.3,496,2.1733870967741935,269.5,326.6666666666667
185,Gaza and the Occupied Palestinian Territories,Sydney Morning Herald ,112,10/1/2023,4.0,3.3,496,0.22580645161290322,28.0,33.93939393939394
186,Gaza and the Occupied Palestinian Territories,The Evening Standard,432,10/1/2023,4.0,3.3,496,0.8709677419354839,108.0,130.9090909090909
187,Gaza and the Occupied Palestinian Territories,The Globe and Mail,411,10/1/2023,4.0,3.3,496,0.8286290322580645,102.75,124.54545454545455
188,Gaza and the Occupied Palestinian Territories,The Guardian,1579,10/1/2023,4.0,3.3,496,3.183467741935484,394.75,478.4848484848485
189,Gaza and the Occupied Palestinian Territories,The Independent,879,10/1/2023,4.0,3.3,496,1.7721774193548387,219.75,266.3636363636364
190,Gaza and the Occupied Palestinian Territories,The Sun,519,10/1/2023,4.0,3.3,496,1.0463709677419355,129.75,157.27272727272728
191,Gaza and the Occupied Palestinian Territories,The Telegraph,674,10/1/2023,4.0,3.3,496,1.3588709677419355,168.5,204.24242424242425
192,Gaza and the Occupied Palestinian Territories,USA Today,418,10/1/2023,4.0,3.3,496,0.842741935483871,104.5,126.66666666666667
193,Gaza and the Occupied Palestinian Territories,Wall Street Journal,852,10/1/2023,4.0,3.3,496,1.717741935483871,213.0,258.1818181818182
194,Gaza and the Occupied Palestinian Territories,Washington Post,960,10/1/2023,4.0,3.3,496,1.935483870967742,240.0,290.90909090909093
195,Gaza and the Occupied Palestinian Territories,yahoo,723,10/1/2023,4.0,3.3,496,1.4576612903225807,180.75,219.0909090909091
196,Myanmar,ABC News,254,8/1/2017,1.1,19.9,2748,0.09243085880640466,230.90909090909088,12.763819095477388
197,Myanmar,AP News,69,8/1/2017,1.1,19.9,2748,0.025109170305676855,62.72727272727272,3.4673366834170856
198,Myanmar,Al Jazeera,315,8/1/2017,1.1,19.9,2748,0.1146288209606987,286.3636363636363,15.829145728643217
199,Myanmar,BBC,236,8/1/2017,1.1,19.9,2748,0.0858806404657933,214.54545454545453,11.859296482412061
200,Myanmar,Business Insider,6,8/1/2017,1.1,19.9,2748,0.002183406113537118,5.454545454545454,0.30150753768844224
201,Myanmar,Buzzfeed,5,8/1/2017,1.1,19.9,2748,0.001819505094614265,4.545454545454545,0.2512562814070352
202,Myanmar,CBC (Canadian Broadcasting Corporation),30,8/1/2017,1.1,19.9,2748,0.010917030567685589,27.27272727272727,1.5075376884422111
203,Myanmar,CBS News,18,8/1/2017,1.1,19.9,2748,0.006550218340611353,16.363636363636363,0.9045226130653267
204,Myanmar,CNBC,7,8/1/2017,1.1,19.9,2748,0.002547307132459971,6.363636363636363,0.35175879396984927
205,Myanmar,CNN,126,8/1/2017,1.1,19.9,2748,0.04585152838427948,114.54545454545453,6.331658291457287
206,Myanmar,CTV News,19,8/1/2017,1.1,19.9,2748,0.006914119359534207,17.27272727272727,0.9547738693467337
207,Myanmar,Channel 4,2,8/1/2017,1.1,19.9,2748,0.000727802037845706,1.8181818181818181,0.10050251256281408
208,Myanmar,Daily Express,6,8/1/2017,1.1,19.9,2748,0.002183406113537118,5.454545454545454,0.30150753768844224
209,Myanmar,Forbes,8,8/1/2017,1.1,19.9,2748,0.002911208151382824,7.2727272727272725,0.4020100502512563
210,Myanmar,Fox News,3,8/1/2017,1.1,19.9,2748,0.001091703056768559,2.727272727272727,0.15075376884422112
211,Myanmar,ITV,1,8/1/2017,1.1,19.9,2748,0.000363901018922853,0.9090909090909091,0.05025125628140704
212,Myanmar,MSN,38,8/1/2017,1.1,19.9,2748,0.013828238719068414,34.54545454545454,1.9095477386934674
213,Myanmar,Mail Online,38,8/1/2017,1.1,19.9,2748,0.013828238719068414,34.54545454545454,1.9095477386934674
214,Myanmar,Metro,6,8/1/2017,1.1,19.9,2748,0.002183406113537118,5.454545454545454,0.30150753768844224
215,Myanmar,Mirror,4,8/1/2017,1.1,19.9,2748,0.001455604075691412,3.6363636363636362,0.20100502512562815
216,Myanmar,NBC News,16,8/1/2017,1.1,19.9,2748,0.005822416302765648,14.545454545454545,0.8040201005025126
217,Myanmar,NYT,152,8/1/2017,1.1,19.9,2748,0.055312954876273655,138.18181818181816,7.63819095477387
218,Myanmar,New York Post,2,8/1/2017,1.1,19.9,2748,0.000727802037845706,1.8181818181818181,0.10050251256281408
