crisis_name,country,raw_coverage,start_date,fund_required,people_affected,crisis_days,coverage_per_day,coverage_per_funding,coverage_per_people
Gaza and the Occupied Palestinian Territories,United Kingdom,8570,10/1/2023,4.0,3.3,496,17.278225806451612,2142.5,2596.969696969697
Gaza and the Occupied Palestinian Territories,United States,16506,10/1/2023,4.0,3.3,496,33.278225806451616,4126.5,5001.818181818182
Myanmar,Australia,143,8/1/2017,1.1,19.9,2748,0.05203784570596798,130.0,7.185929648241206
Myanmar,Canada,65,8/1/2017,1.1,19.9,2748,0.023653566229985445,59.090909090909086,3.2663316582914574
Myanmar,Other,320,8/1/2017,1.1,19.9,2748,0.11644832605531295,290.9090909090909,16.080402010050253
Myanmar,United Kingdom,605,8/1/2017,1.1,19.9,2748,0.22016011644832606,550.0,30.40201005025126
Myanmar,United States,853,8/1/2017,1.1,19.9,2748,0.3104075691411936,775.4545454545454,42.86432160804021
Sudan,Australia,46,4/1/2023,10.28,30.4,679,0.06774668630338733,4.474708171206226,1.5131578947368423
Sudan,Canada,28,4/1/2023,10.28,30.4,679,0.041237113402061855,2.7237354085603114,0.9210526315789475
Sudan,Other,378,4/1/2023,10.28,30.4,679,0.5567010309278351,36.77042801556421,12.43421052631579
Sudan,United Kingdom,533,4/1/2023,10.28,30.4,679,0.7849779086892489,51.84824902723736,17.532894736842106
Sudan,United States,804,4/1/2023,10.28,30.4,679,1.1840942562592047,78.21011673151752,26.447368421052634
Syria,Australia,416,3/1/2011,8.58,16.7,5093,0.08168073826821128,48.484848484848484,24.910179640718564
Syria,Canada,722,3/1/2011,8.58,16.7,5093,0.1417632043981936,84.14918414918415,43.23353293413174
Syria,Other,1025,3/1/2011,8.58,16.7,5093,0.20125662674258787,119.46386946386946,61.377245508982035
Syria,United Kingdom,3558,3/1/2011,8.58,16.7,5093,0.6986059297074416,414.68531468531467,213.05389221556888
Syria,United States,5194,3/1/2011,8.58,16.7,5093,1.0198311407814649,605.3613053613053,311.0179640718563
Ukraine,Australia,1255,2/1/2022,3.32,12.7,1103,1.1378059836808703,378.0120481927711,98.81889763779527
Ukraine,Canada,681,2/1/2022,3.32,12.7,1103,0.6174070716228468,205.12048192771084,53.62204724409449
Ukraine,Other,1373,2/1/2022,3.32,12.7,1103,1.244786944696283,413.5542168674699,108.11023622047244
Ukraine,United Kingdom,6954,2/1/2022,3.32,12.7,1103,6.304623753399818,2094.5783132530123,547.5590551181102
Ukraine,United States,12220,2/1/2022,3.32,12.7,1103,11.078875793291024,3680.7228915662654,962.2047244094489
Yemen,Australia,42,9/1/2014,2.5,19.5,3813,0.011014948859166011,16.8,2.1538461538461537
Yemen,Canada,77,9/1/2014,2.5,19.5,3813,0.02019407290847102,30.8,3.948717948717949
Yemen,Other,309,9/1/2014,2.5,19.5,3813,0.08103855232100708,123.6,15.846153846153847
Yemen,United Kingdom,698,9/1/2014,2.5,19.5,3813,0.18305795961185417,279.2,35.794871794871796
Yemen,United States,888,9/1/2014,2.5,19.5,3813,0.23288749016522423,355.2,45.53846153846154
